year,GDP,OEMPACC,OEMPAGM,OEMPCOM,OEMPCON,OEMPDG,OEMPELE,OEMPFIRP,OEMPFOO,OEMPGOV,OEMPHEA,OEMPHIED,OEMPHOME,OEMPLOED,OEMPLUM,OEMPOND,OEMPPAP,OEMPPERS,OEMPRET,OEMPTRAN,OEMPWHO,OGCO,OGHE,OGLE,OGSLO,OGSP,OGSPACC,OGSPAGR,OGSPCOM,OGSPCON,OGSPELE,OGSPFIR,OGSPFOO,OGSPGOV,OGSPHEA,OGSPHIED,OGSPHOM,OGSPLOED,OGSPLUM,OGSPOD,OGSPOND,OGSPPER,OGSPPULP,OGSPRET,OGSPTRA,OGSPWHO,OLF,OLIACC,OLIAGR,OLICOM,OLICON,OLIELE,OLIFIR,OLIFOO,OLIGOV,OLIHEA,OLIHIED,OLIHOM,OLILOED,OLILUM,OLIOD,OLIOND,OLIPER,OLIPULP,OLIRET,OLITRA,OLIWHO,ON,ONLI,ONRI,ONRSV,OPOP,ORI,ORSV,OUNRT,OYP,PRODACC,PRODAGR,PRODCOM,PRODCON,PRODELE,PRODFIR,PRODFOO,PRODGOV,PRODHEA,PRODHIED,PRODHOM,PRODLOED,PRODLUM,PRODOD,PRODOND,PRODPER,PRODPULP,PRODRET,PRODTRA,PRODWHO,TREND,USCOD,USEMPACC,USEMPAGM,USEMPCOM,USEMPCON,USEMPDG,USEMPED,USEMPELE,USEMPFIRP,USEMPFOO,USEMPGOV,USEMPHEA,USEMPHOME,USEMPLUM,USEMPOND,USEMPPAP,USEMPPERS,USEMPRET,USEMPTRAN,USEMPWHO,USENGD,USGDPD,USGSP,USGSPACC,USGSPAGR,USGSPCOM,USGSPCON,USGSPELE,USGSPFIR,USGSPFOO,USGSPGOV,USGSPHEA,USGSPHIED,USGSPHOM,USGSPLOED,USGSPLUM,USGSPOD,USGSPOND,USGSPPER,USGSPPUL,USGSPRET,USGSPTRA,USGSPWHO,USINFL,USLF,USMORR,USMVC,USMVD,USN,USNDC,USNDD,USNLI,USNRSPI,USODC,USPOP,USRPRM,USRSPI,USSC,USSCD,USUNRT,USYP
1980,5083.278665,17930,83184,25723,67756,64569,29063,152642.819,24537,95889.01622,70833,43367.48126,13275,80107.02674,75626,22065,10393,134601.6568,228437,41974,71388,1717161.714,1028409.505,2518131.788,5978278.916,56009.91326,433.7050805,2394.489394,3114.294045,2912.019827,1647.35039,10520.08164,1082.440411,4081.139028,2438.22436,1008.483759,76.53619068,1958.850441,4788.978789,3482.396676,898.3890954,2644.288634,852.8318391,5069.611488,2210.438079,4391.719513,1475857.143,302680.589,294489.3943,1273347.183,2661679.058,1084091.406,3238355.565,806090.094,3769118.729,2260155.624,930626.2122,76295.64837,1799240.728,3297501.64,2811402.07,744826.518,2258037.437,559042.2042,4373042.86,1726641.884,2777066.477,1353361,15203517.02,1895706.684,106040077.1,2641218,1630931.555,74677634.67,8.3,48673252.42,0.000017959,0.000026682,0.00009323,0.000048614,0.000055567,0.000047899,0.000092744,0.00002291,0.000025305,0.00002899,0.000002772,0.000018683,0.000077894,0.000079652,0.00005551,0.000021951,0.000118928,0.000013911,0.000050694,0.00004321,79,70.278,1251000,5984600,2225600,5654200,8894200,1561100,2824600,11946056.32,1724000,18775000,5887900,1598000,794600,5851700,692000,11494543.68,17883900,3446500,5741700,135.7478679,54.876,4977800.86,36478.60631,327616.8088,254076.4633,236567.8985,136382.0249,931593.0461,96098.47657,332171.3305,203404.0382,90726.01655,11121.43742,250372.0052,35028.06327,467840.2216,293631.0956,3223.103481,41579.19673,447191.8507,187601.1371,358737.8818,0.191037978,194875.7198,13.77,158.5392521,60.367,180958.8891,237.9911072,60.449,1205357533,51.74,73.8027553,227224719,15.26583333,50.862,1543.297616,42.332,7.1,4188087689
1981,5223.053292,17546,84141,25958,57795,60878,28463,153025.001,23940,95222.97588,73790,42277.02825,13564,81046.88697,68284,21710,10323,127921.1079,227317,40432,70618,1446431.575,984122.479,2490817.417,6432391.719,53616.2682,412.3814612,2288.967544,3268.999599,2185.454788,1654.534527,10312.87565,1111.927341,4148.875137,2561.105917,1004.217419,71.79110458,2038.708974,3591.22479,3329.10378,871.5106184,2520.032318,809.7368773,4945.238413,2120.341926,4364.231334,1469758.047,286812.141,255274.1418,1303511.086,2033269.334,1041533.658,3209781.955,796839.5218,3829148.491,2348734.473,925073.9008,72225.19033,1868472.023,2824914.852,2653936.824,698839.6554,2132350.998,560047.4155,4190336.583,1642952.785,2649983.304,1324252,16526858.22,2299422.332,108339499.4,2667985,1113500.067,75791134.74,9.9,48219802.66,0.000017449,0.000025216,0.000096975,0.000042773,0.000056986,0.000046838,0.000097646,0.000023453,0.000025515,0.000029612,0.000002545,0.000019219,0.000064693,0.000080763,0.00005473,0.000022012,0.000113684,0.000013636,0.000050483,0.000043408,80,74.455,1294700,6175800,2295000,5566300,8828100,1582900,2847700,12292936.23,1694400,18593000,6228900,1606000,751100,5853900,688000,11637163.77,18118900,3416300,5832900,140.2046881,59.896,5125135.234,37855.6164,390167.9578,272522.3721,219545.5456,142538.7338,962915.7206,95128.22225,335429.7783,214974.2888,94026.75519,10289.5018,253464.5457,29392.61386,479810.004,300470.8161,3375.167759,41573.72779,451848.2036,185999.065,364862.4282,0.152729683,181431.1473,16.6325,159.9439028,65.008,167618.8727,241.2515026,65.13,1308783558,58.88,72.45892881,229465744,18.87,55.026,1587.418192,46.746,7.6,4308468011
1982,5142.505056,16857,83012,25674,48303,54430,27180,151472.5181,23846,96400.04284,75012,41472.22337,14043,77479.35473,59359,20960,9634,126931.8609,218050,38128,65994,1233484.955,967754.6764,2452366.658,6713778.695,50462.90445,376.0111223,2061.741658,3241.911021,1660.452477,1613.056117,9814.206269,1210.187058,4271.440151,2688.953488,999.9267905,71.09453994,2015.577735,2954.373104,2891.177958,838.9155713,2394.551784,744.1228514,4703.298787,1929.03185,3978.134479,1439816.949,257515.4828,223595.4879,1296538.486,1560422.46,1074995.26,2999965.243,787043.4151,3900202.43,2466700.897,905944.4933,70699.57027,1813565.187,2389541.203,2379167.72,669795.8797,2007798.317,535512.5126,3920197.169,1550914.75,2440961.514,1274238,17104915,1632624.494,109972123.9,2664919,714572.8008,76505707.54,11.5,46878878.6,0.000016561,0.000023022,0.000097235,0.000038884,0.00005818,0.00004503,0.000106694,0.000023851,0.000026352,0.000030057,0.000002434,0.000019876,0.000061223,0.000078448,0.000054568,0.000021079,0.000111944,0.00001352,0.000048703,0.00004234,81,76.459,1316200,6119900,2357600,5354300,7930600,1645000,2749500,12571116.15,1657000,18564000,6520100,1635000,673700,5594300,664800,12020383.85,18169100,3292200,5722500,126.6572927,63.296,5083458.67,38744.94439,359446.0945,293743.6805,206635.4904,135533.0511,989447.9904,100450.2654,344536.5276,231836.135,96627.22845,9874.241658,258747.5318,26346.05662,436529.9545,287424.1658,3542.326948,41819.38827,455133.0258,172960.3766,354181.9388,0.089681906,174108.9484,16.08416667,162.5695147,68.075,157239.004,245.1971689,66.955,1377466191,63.566,69.35667341,231664432,14.86083333,57.958,1657.924671,50.528,9.7,4368184403
1983,5398.305732,16337,89377,24632,48954,51722,25597,151820.1663,24159,95431.74311,76804,42325.71137,14171,76986.79868,66521,21752,9296,137748.5806,221537,38940,66102,1149928.206,997863.0848,2470350.301,6833815.975,51788.14012,351.0646417,1907.960009,3203.846447,1561.474471,1073.036709,10229.71839,1189.040678,4400.181044,2755.094253,1010.510782,70.21292834,2014.759449,4170.037396,2600.931084,894.4516523,2476.097988,747.9203236,4977.486072,2095.703274,4058.612531,1457639.013,233392.3529,272890.1778,1198797.222,1489568.801,1035776.54,3235024.04,769439.0598,3944722.538,2499607.723,919289.1523,69942.7612,1819586.403,2760963.138,2190852.477,694283.7518,2096359.17,513870.1061,4116706.098,1606061.207,2428195.07,1300214,17673590.78,1194123.483,111166247.4,2653071,967505.1515,77473212.69,10.8,48064623.37,0.000015954,0.000019787,0.000100158,0.00003608,0.000041096,0.000046829,0.000103472,0.000024819,0.000026371,0.000029763,0.000002382,0.000019995,0.000077111,0.000074267,0.000056062,0.000020085,0.000116606,0.000014083,0.000051808,0.000043126,82,78.534,1342600,6260400,2307900,5471900,7576000,1726100,2735200,12758807.34,1625000,18630000,6720200,1622000,733400,5588100,664000,12782292.66,18551100,3272400,5689300,117.9226131,65.515,5260754.026,39131.4966,292700.9082,311099.7481,213384.7211,144774.4791,1072699.382,102686.4077,356543.9756,244318.0951,100140.0443,9590.17019,265943.0303,32578.79875,431733.1909,304472.2583,3939.384832,41999.54209,492081.2028,183506.0673,361570.6327,0.053510659,170267.8776,13.2275,193.0855529,70.144,153909.7917,259.1772876,68.386,1426639701,61.939,72.80775395,233792014,10.79416667,59.284,1798.977333,53.799,9.6,4502607037
1984,5799.298163,16619,87009,23735,53821,56551,28375,152896.8767,24160,100416.8376,77930,39660.67127,14277,77937.38086,71405,22565,9019,150433.2336,230680,42155,68275,1195818.503,1039089.823,2471825.514,6912994.272,55849.1345,362.7141635,2117.307069,3192.179529,1784.081861,1402.199876,10751.6735,1095.51473,4688.379103,2844.209843,935.3680639,79.62018224,2043.055305,4743.298635,3143.522751,920.0554392,2708.886833,981.9822476,5331.603315,2332.57645,4387.95671,1488321.192,237470.1424,296610.2445,1180627.23,1718286.102,1188748.489,3464535.107,757768.8656,4148755.789,2561634.868,855890.5041,79499.27752,1854354.932,2968905.37,2356323.907,737343.3399,2324915.498,535957.359,4362485.624,1772436.672,2561748.4,1348419,18465844.42,1589484.238,112755731.6,2666589,981236.1771,78454448.87,9.4,50646971.48,0.000016204,0.000022556,0.000103565,0.000037495,0.000048445,0.000048872,0.000095329,0.000025132,0.00002683,0.000029401,0.000002681,0.000020029,0.000081712,0.000082096,0.000055589,0.000020121,0.0001578,0.000014487,0.000053266,0.000045141,83,79.769,1435200,6153900,2305400,6092900,8100100,1778200,2941800,13255597.38,1622400,18886000,6875600,1606000,794700,5743500,681900,13804402.62,19534400,3494100,5985000,112.7480758,67.822,5700707.735,42291.5868,323903.748,327405.5616,244864.4982,165860.6352,1166611.129,101803.2497,373595.006,256573.0884,105570.867,10751.6735,279085.8425,35435.40444,496141.3701,308482.4983,4462.447886,46058.80098,533571.7024,199730.176,399728.7016,0.051920188,167414.7032,13.87,224.2635133,72.16,154824.3933,274.6896287,70.004,1517899797,62.468,81.68440919,235824907,12.0425,61.022,1905.281472,56.68,7.5,4830003539
1985,6049.741972,17086,87076,22960,56230,58202,28934,153733.2236,23764,103693.8615,80187,40982.65607,14413,80702.2309,69261,22746,9223,160522.0279,235225,43586,69685,1272586.726,1080962.586,2497935.063,7034469.61,57312.2133,374.1399083,2118.692661,3185.206422,1955.275229,1548.165138,11196.96101,1112.385321,4927.444346,2970.183486,993.4585743,78.84174312,2172.946521,4559.919725,2974.483945,969.0366972,2869.45331,976.2041284,5470.183486,2353.784404,4506.880734,1511723.684,240537.5573,338385.8945,1183992.259,1877925.745,1194121.273,3590338.303,751757.4541,4347296.823,2647729.358,906508.6039,79012.32798,1965519.121,2935868.693,2342082.856,747525.8028,2443727.344,546344.6101,4487468.463,1768668.291,2629333.429,1378692,18828016.06,1896971.044,114652702.7,2672648,940296.7317,79394745.6,8.8,51887829.7,0.000016257,0.000022553,0.000106827,0.000039333,0.000052455,0.000050619,0.00009841,0.000025579,0.00002723,0.00003022,0.00000263,0.000020572,0.000080985,0.000075477,0.000058082,0.000019974,0.000153402,0.000014577,0.000051985,0.000045427,84,81.084,1510000,6003300,2304700,6465500,8116800,1807800,2930300,13874216.98,1613300,19257000,7136900,1593000,800200,5639900,679100,14793583.02,20257800,3590200,6136100,109.9053899,69.76,5951045.011,45570.52752,315422.8784,342039.8509,267082.8555,167082.8555,1261396.216,103209.5757,393208.536,268911.9839,110903.9427,10523.22248,296386.9884,34915.42431,485004.3005,316314.5069,4883.273698,46536.69725,565299.5986,201305.906,414410.8372,0.040961581,165513.1881,12.42416667,252.1502294,73.833,153598.0505,284.1169725,71.543,1582577408,63.94,84.57568807,237923734,9.933333333,62.649,2047.161697,59.295,7.2,5033463303
1986,6255.852421,17364,88419,22660,60137,58080,26493,158899.443,23554,105788.2501,83837,40838.39446,14527,84018.24693,70306,21690,9105,169158.6655,241248,44224,71503,1291175.11,1129924.054,2646268.569,7154256.087,58958.75971,374.2745802,2268.07592,3177.829488,2129.299952,1338.697468,11617.93154,1091.984637,4972.967612,3114.749502,1017.503339,82.70486977,2263.964548,4973.506406,2886.259777,986.8513275,2997.632123,1016.288654,5541.226275,2450.306989,4655.302924,1545283.06,236774.2297,400620.9874,1204588.018,2038975.02,1200050.464,3872000.897,750039.2498,4380197.083,2784675.769,914540.4491,82481.98716,2018367.824,2924873.139,2388255.908,788628.7813,2553226.753,557636.8836,4511386.638,1835661.218,2703646.023,1413934,19247004.4,1304192.716,115956895.4,2683526,939740.3908,80334485.99,8.5,53218981.47,0.000016003,0.000023777,0.000107991,0.000040051,0.000049537,0.000050815,0.000097467,0.000025304,0.000027312,0.00003106,0.000002737,0.000020588,0.000087017,0.000073393,0.00006203,0.000019801,0.00016177,0.000014397,0.000053337,0.00004573,85,82.348,1571500,5685900,2286400,6789400,7915100,1848100,2836600,14708737.33,1621200,19631000,7419900,1577000,816500,5623200,676100,15474262.67,20670100,3647600,6171700,84.68417954,71.338,6105970.17,47471.19347,239137.6265,345557.7672,291425.3273,164237.8536,1356607.979,106878.522,406847.8574,283865.5415,114673.1278,10834.33794,309971.3299,38117.13252,479604.138,325460.4839,5315.557306,48466.45547,581988.5615,208784.9393,422150.8873,0.031708785,165177.0445,10.1775,272.0850038,75.784,153630.6036,297.0366425,71.273,1634974347,65.168,92.51731195,240132831,8.3325,65.337,2156.354257,62.04,7,5198069752
1987,6445.878826,18579,88734,22427,57657,60582,25672,157252.0905,24246,109811.1658,88683,40713.63347,14484,85776.25901,72924,26606,9205,188531.8513,250708,46568,75103,1256382.637,1160297.931,2807064.384,7289217.528,61231.42874,412.0901539,2312.056969,3225.999489,2150.212981,1638.840381,11977.81513,1236.270462,5149.78163,3412.32408,1036.222089,81.60201067,2297.1251,5149.086874,3002.953993,1139.708082,3289.321254,1151.948384,5510.855787,2521.50213,4535.71176,1561051.173,224692.9699,486560.0392,1180692.807,2067648.619,1165733.676,4196027.31,763488.2424,4555484.259,3101194.119,940842.3221,80842.41163,2074187.96,2956505.773,2525219.307,846119.1127,2650926.563,563146.8712,4480373.196,1920675.398,2775056.782,1464266,19579348.44,1420950.772,117377857.7,2700996,1073399.649,81407894.4,6.2,54400496.42,0.000016468,0.000024152,0.000110767,0.000042184,0.000062582,0.000052938,0.000107196,0.000025244,0.000028286,0.000031729,0.000002709,0.000020461,0.000086855,0.000073206,0.000058401,0.000019495,0.000181372,0.000013778,0.000052124,0.000042419,86,85.901,1633200,5696800,2301800,6943800,7899200,1899600,2777100,15257938.93,1632800,20015000,7807000,1544000,847600,5708100,683000,16169061.07,21457900,3810100,6316400,84.94633308,73.527,6369370.141,50503.48441,246257.1878,363615.8395,298196.8676,169970.1881,1409652.974,107575.9307,419527.9411,313614.2075,119561.5061,10484.49834,320444.3612,43651.63558,489204.054,346767.7444,6093.520731,51345.34515,590916.8802,215995.0821,420114.3516,0.041732503,163020.4168,10.19583333,265.2065347,79.128,152922.168,311.5836774,73.731,1666858431,66.199,99.55445302,242288936,8.203333333,68.053,2262.143739,64.299,6.2,5351306323
1988,6711.72889,20047,92630,22731,63106,65556,27573,155892,24611,112404.9994,91754,41312.05277,14173,86844.84428,74525,28283,8848,211760.1036,262937,48431,78215,1317977.986,1191254.948,2990861.749,7479209.132,65360.3882,444.485357,2431.519009,3235.01177,2455.189827,1696.408611,12727.00972,1283.484344,5516.901652,3584.813855,1091.723035,85.47795326,2418.309454,5177.333877,3571.663401,1205.896664,3634.323305,1332.141025,5741.488368,2733.979459,4995.857607,1626485.138,256226.0826,518642.0841,1185020.317,2308839.735,1255580.395,4461750.588,755982.7992,4792250.231,3263001.197,975075.059,85237.29995,2153439.493,3079378.773,2750859.382,925248.8723,2226496.635,551121.0762,4685918.493,1965455.071,3001800.297,1532149,20438717.57,1569995.923,118947853.7,2741297,1265322.252,82673216.65,5.8,57133483.69,0.000016461,0.000024331,0.00010959,0.000044008,0.000060315,0.00005674,0.000109639,0.000026419,0.000028722,0.000032944,0.0000029,0.000021276,0.000085455,0.000080464,0.000058129,0.000019177,0.000218206,0.000013687,0.000054342,0.000044864,87,89.596,1705200,5727500,2313900,7171400,8031500,1968300,2812000,15459800,1645500,20383000,8125000,1483000,876200,5833000,687800,17784700,22110500,3910800,6477800,82.77684994,76.043,6696440.172,53396.10484,247566.5084,367894.4808,311916.9417,185690.9906,1487964.704,111283.0898,434942.6669,333527.0834,124229.7401,10933.28775,331199.5166,43360.99312,515622.7398,375121.9705,6961.164262,57533.23777,606923.7142,222535.9336,455738.2008,0.044999174,160000.263,10.33833333,275.3705141,80.403,151188.1436,321.5286088,76.206,1736297884,69.016,105.8611575,244499004,9.315,70.447,2388.780032,67.493,5.5,5572452428
1989,6948.083209,21403,92582,22533,69556,69995,28575,158688,23882,114289.9673,97349,43954.39692,13889,89846.60669,73056,30081,9200,217980.0291,274040,51398,83904,1516527.732,1242899.764,3133465.934,7677031.444,67721.13411,476.3473281,2475.485849,3040.514861,2768.135404,1773.633669,13000.73479,1218.739707,5696.647348,3855.119467,1139.488683,88.68168343,2493.694037,5385.511947,3704.360605,1342.894063,3883.740763,1273.215598,6073.428434,2754.199711,5276.560164,1682080.594,275265.4116,518035.3206,1138228.14,2562898.117,1280721.869,4704192.11,719344.0089,4913863.628,3540811.311,1019704.9,89149.16259,2225826.506,2962092.381,2949944.257,973314.4146,2301862.474,561443.7378,4861999.899,2043773.279,3205532.47,1586202,22014875.72,1578963.438,120526817.1,2790579,1663920.491,84337137.14,5.7,60278480.76,0.000016524,0.000024784,0.000103907,0.000045016,0.000060849,0.000056939,0.000107286,0.00002683,0.000029112,0.000032318,0.00000307,0.000021206,0.000090679,0.000078161,0.000060864,0.000019908,0.000200574,0.000013892,0.000051584,0.000044172,88,92.577,1769800,5622000,2294900,7292500,8099500,2248100,2787100,15727100,1652400,20766000,8548700,1426000,876400,5883200,694900,18079600,22658600,4068700,6704300,86.6762105,78.934,6855541.338,55731.37051,252228.444,375544.1255,311428.5352,188185.066,1538199.002,112671.3457,446346.0399,355626.2194,129560.836,11304.38088,340567.4389,42772.4428,507314.972,380687.6631,7490.009849,57640.56047,624142.9549,218188.6133,462077.1784,0.048164244,156928.5732,10.32416667,272.7595206,82.766,148658.3728,336.6103327,79.842,1864075050,71.707,107.5582132,246819222,10.87333333,72.758,2483.087136,70.708,5.3,5791082423
1990,7064.545189,22331,95416,22462,76958,71133,30122,166936,25121,118929.3555,100861,45041.68593,13225,92302.29882,69526,30663,9266,228897.6597,280145,52535,86277,1656872.687,1319715.378,3153300.911,8151639.195,70324.06506,493.0366186,2586.92053,3280.823919,3239.43319,2266.751071,14568.31905,1128.506038,6014.617384,4103.768991,1182.291779,91.30307752,2578.77581,4025.857032,3670.383716,1379.285158,4221.685499,1082.245812,6338.868329,2707.440592,5367.403584,1735327.331,298186.1122,581566.5173,1125228.866,2964008.327,1377947.263,5140790.563,765264.6572,5176695.258,3735940.543,1063806.91,90730.91157,2315302.477,2712807.996,2946730.132,998959.1449,2509270.101,541937.3296,5077300.838,2050286.973,3387004.529,1638149,22683780.92,1036751.315,121563568.4,2860375,1931043.046,86268180.19,5.6,62713554.25,0.000016392,0.000025131,0.000112473,0.000047613,0.000073773,0.000060652,0.000094443,0.000027223,0.000029911,0.000032723,0.000003319,0.000021346,0.000071227,0.000076205,0.000061327,0.000020608,0.000169276,0.000014183,0.00004961,0.000043696,89,96.86,1818500,5651100,2351100,7261800,7944500,2227900,2690900,16077400,1677200,21232000,8964000,1332000,853300,5830100,698200,18965400,22885500,4199500,6720500,95.32163031,82.144,6947139.17,56421.64979,267978.1847,381644.4293,302770.7441,188686.94,1578845.686,117345.15,459097.2943,382697.4581,134003.9966,11417.75419,349052.5485,39169.02026,486207.1484,380560.9661,7557.642934,54814.71562,618147.3997,215967.0822,457908.0639,0.049506825,153194.3903,10.13,259.0572653,83.09,144615.5532,346.9516946,84.226,1924444877,74.015,109.3202182,249622814,10.00916667,74.498,2575.842423,74.197,5.6,5918796260
1991,7067.636381,21037,95245,22864,78135,69242,30436,166239,25867,120922.7611,104306,47303.93156,13365,92827.6971,61837,30636,9185,234699.6103,283098,52656,86881,1727684.591,1364197.982,3227000.919,9030317.907,71434.29676,488.0003772,2482.436701,3595.171861,3246.263379,2350.417276,14660.04998,1300.155594,6180.621569,4303.597529,1252.71253,86.04837569,2679.523969,3564.524494,3617.568014,1439.247489,4274.901846,942.995898,6628.082418,2739.403084,5601.395634,1753762.513,298399.2645,561885.2845,1183978.5,2912501.768,1465216.418,5184295.582,789990.0985,5387306.951,3913190.155,1128220.633,90996.74666,2410636.622,2450228.677,2960205.573,1026105.663,2577422.714,539777.9245,5245888.538,2047801.02,3385678.25,1646783,23414766.14,910556.8391,122474125.3,2928507,1685225.612,87953405.8,6.1,63954007.73,0.000017223,0.000024159,0.000121083,0.000046995,0.000075707,0.00006129,0.00010567,0.000027513,0.000030331,0.000033014,0.000003095,0.000022054,0.000070907,0.00007716,0.000064049,0.000020352,0.000148796,0.000014675,0.000050081,0.000045284,90,99.967,1761300,5631600,2323900,6807000,7570500,2406200,2581400,15803900,1684700,21259000,9374800,1312000,803500,5693300,689300,19269600,22770400,4240300,6623100,90.88948088,84.836,6949207.883,56907.44495,235308.1239,391575.5104,274305.7193,191258.428,1606736.527,122229.9495,470182.0449,407033.5707,139777.7487,10759.5832,360164.6447,35760.76194,451376.774,376811.7309,7822.423963,52629.77981,617346.4095,219379.7444,466346.8339,0.038629495,148929.6997,9.249166667,228.0871328,85.386,138759.4889,351.030223,86.779,1974689990,75.355,104.5546702,252980941,8.463333333,75.511,2649.111226,77.497,6.8,5931675232
1992,7299.143134,21295,89169,22700,78780,68535,29997,166331,25773,122314.9609,105323,48003.45147,15018,95613.57365,59873,31478,9065,243914.014,289252,52332,89936,1713989.727,1385373.958,3409651.265,9754736.375,73857.5114,507.9006772,2480.766573,3561.063251,3194.821947,2694.983185,15503.06353,1178.191367,6302.230881,4613.719077,1311.938073,94.4395817,2833.355505,3753.397522,3595.614318,1401.621597,4537.273072,907.5413461,6828.442438,2723.775741,5833.371723,1801626.623,331744.3682,549528.9538,1222841.71,2852297.646,1552394.389,5777860.828,792694.7528,5632438.043,4174792.694,1188320.991,104806.0533,2562417.895,2481120.146,2994464.919,1055620.307,2711102.565,549813.4242,5436793.431,2078811.614,3577329.894,1664703,23848954.25,915306.1224,123389431.4,2991755,1817836.412,89771242.21,7.6,66277003.96,0.000017708,0.000025788,0.000120801,0.000045872,0.000088075,0.000064778,0.000096107,0.000027735,0.000032203,0.000034071,0.000003023,0.000022641,0.000077113,0.000077483,0.000060706,0.000020785,0.000145097,0.000014797,0.000050103,0.000045558,91,101.841,1742200,5480600,2286700,6800600,7388900,2464900,2475700,15511600,1671700,21480000,9689500,1434000,796300,5682600,691700,19715300,22986000,4187000,6676800,88.17432165,86.828,7151029.622,58069.97743,229518.1278,397397.153,270007.3709,183741.4198,1685003.685,121954.8993,484623.8346,435118.8557,143727.0567,11667.89515,370994.1655,37181.55434,463161.6529,387575.4365,8108.759884,52522.22785,635402.1744,222764.546,477508.4074,0.027042657,147538.8124,8.400833333,245.312572,86.981,136467.499,362.4406873,88.105,2014862717,75.33,105.8414336,256514224,6.251666667,76.457,2788.501405,80.684,7.5,6160897406
1993,7502.986589,21874,93180,22387,81837,70798,31046,174450,25848,122257.5953,108047,48698.77999,15383,95729.52088,58535,32469,9221,256206.1039,297935,54931,88180,1722375.183,1431167.024,3514177.279,10036367.07,78676.88493,520.6807168,2638.341035,3589.541305,3461.061648,4149.667531,16347.34588,1191.254367,6465.795906,4756.001352,1399.581267,99.17727939,2946.197702,4261.24197,3562.492956,1449.340696,4868.578401,920.7708779,7167.812465,2843.457681,6038.543897,1843598.706,350189.3384,653553.4768,1290620.985,3044836.019,1690921.898,6238087.456,799461.2871,5706992.179,4337810.211,1251879.381,115233.8555,2628929.754,2549992.111,3081021.075,1119777.978,2897781.915,557317.7054,5650599.572,2140273.441,3611283.67,1709016,24781727.71,1034752.62,124424184,3060367,2253329.201,92024571.41,7.3,69141498.93,0.000017673,0.000026245,0.000123469,0.000047838,0.000131034,0.000065127,0.000096891,0.000028468,0.000032359,0.000035828,0.0000031,0.000023514,0.000089548,0.000074315,0.000060857,0.000021233,0.000144722,0.00001508,0.00004983,0.000048099,92,102.439,1766600,5695900,2294900,7005700,7353100,2531600,2441700,15953200,1691700,21580000,9999800,1423000,831400,5699200,693900,20483800,23366600,4402100,6565200,85.4648935,88.73,7340274.992,59780.23216,221711.9351,413938.9158,280529.6968,190895.9766,1742323.904,121234.0809,489829.6066,444653.443,144456.9382,12101.88211,380926.4064,40250.19723,482055.6745,387775.2733,8695.535264,52895.30035,651417.7843,232143.5817,487432.6609,0.024687677,145609.1514,7.33,263.721402,90.263,135533.6414,373.1545137,88.973,2047806830,77.602,111.9125437,259918588,6,79.614,2898.45599,83.345,6.9,6252813028
1994,7807.425234,22610,99404,22789,91325,76444,33299,175426,26202,123586.312,111112,50098.59663,14387,94661.10429,59635,33721,9153,280113.9871,317724,57565,92438,1868788.294,1507986.598,3547734.122,10827741.96,82893.03732,531.0047139,2700.285926,3668.458762,3955.488337,4539.483126,17109.17059,1305.984567,6692.354676,4984.378967,1463.164133,100.4603513,2966.505061,3802.03791,3879.315103,1558.791385,5141.51344,1080.776746,7578.684742,3067.904574,6769.482132,1894610.994,354914.2775,665229.6789,1281526.335,3452048.398,1915331.795,6600415.089,816591.4134,5826142.937,4488319,1309882.925,124006.7121,2651397.601,2619647.174,3342099.511,1192262.345,3037967.614,565792.6984,5889762.98,2238950.686,3862113.2,1792302,26026853.82,1137078.701,125561262.7,3121264,2337032.335,94361603.75,5.4,72568651.95,0.000017436,0.00002518,0.000123958,0.000048992,0.000133644,0.000067783,0.000104787,0.000029149,0.000032977,0.000036409,0.000003357,0.000023944,0.000078424,0.000074947,0.000063023,0.000020509,0.000171133,0.000014951,0.000051303,0.000051437,93,103.921,1807300,5737800,2331500,7381100,7567800,2559700,2455500,16368600,1700700,21691000,10240500,1285000,870400,5724900,695400,21316200,24214500,4575800,6699900,83.93296755,90.583,7651315.368,62443.28406,230415.1993,428534.0516,303956.5923,205467.9134,1791348.266,121688.3963,497936.1589,456983.0984,147874.0197,12248.43514,388468.4324,43944.22795,516836.4925,407123.8533,9112.533092,55312.80704,685070.0463,246422.6179,528986.6752,0.023054634,144680.5692,8.355833333,287.581555,94.307,135853.3058,385.8339865,89.605,2120031352,80.388,119.5588576,263125821,7.138333333,82.444,3007.076383,85.748,6.1,6440398309
